Contributors,Currency,Age,Relationship,Children,Additional Children,Amount to retire,FI rate,Retire age,Wage
2,United States Dollars (USD),46-50,Married,,,1500000.0,40.0,61-65,75000.0
2,United States Dollars (USD),36-40,Married,1.0,2.0,,,,
1,United States Dollars (USD),51-55,"Single, never married",,,,,,
1,United States Dollars (USD),51-55,Married,2.0,0.0,,,,
1,United States Dollars (USD),41-45,"Single, never married",,,1000000.0,65.0,41-45,140000.0
2,United States Dollars (USD),31-35,Married,,,,,,
2,United States Dollars (USD),21-25,"In a relationship, but not married",,2.0,2500000.0,20.0,36-40,251000.0
1,United States Dollars (USD),36-40,Married,2.0,0.0,,,,
1,United States Dollars (USD),46-50,"Single, never married",,,,,Undecided,140000.0
2,United States Dollars (USD),36-40,Married,1.0,1.0,,,,
2,United States Dollars (USD),21-25,Married,,3.0,3000000.0,17.0,31-35,395000.0
2,United States Dollars (USD),31-35,Married,1.0,1.0,2000000.0,25.0,46-50,230000.0
2,United States Dollars (USD),41-45,Married,2.0,0.0,,,46-50,235000.0
2,United States Dollars (USD),31-35,Married,2.0,0.0,,,,
2,United States Dollars (USD),26-30,Married,,2.0,3000000.0,33.0,51-55,265000.0
2,United States Dollars (USD),41-45,Married,2.0,0.0,,,,
2,United States Dollars (USD),36-40,Married,2.0,0.0,,,,
2,United States Dollars (USD),31-35,Married,3.0,0.0,3200000.0,33.0,41-45,410000.0
2,United States Dollars (USD),41-45,Married,1.0,1.0,,,,
1,United States Dollars (USD),31-35,"Single, never married",,,2000000.0,26.5,46-50,166853.0
2,United States Dollars (USD),51-55,Married,1.0,0.0,,,56-60,165000.0
1,United States Dollars (USD),31-35,"In a relationship, but not married",,,1000000.0,30.0,46-50,74500.0
2,Canadian Dollars (CAD),36-40,Married,3.0,0.0,,,,
2,Australian Dollars (AUD),41-45,"In a relationship, but not married",,,1889999.9999999998,18.0,51-55,
2,United States Dollars (USD),31-35,Married,2.0,0.0,,,,
2,United States Dollars (USD),41-45,Married,,,2500000.0,25.0,56-60,210000.0
2,Canadian Dollars (CAD),36-40,Married,3.0,,,,Undecided,
2,United States Dollars (USD),31-35,Married,2.0,0.0,2800000.0,39.0,56-60,150771.0
1,United States Dollars (USD),56-60,Married,2.0,0.0,2500000.0,80.0,66-70,225000.0
2,United States Dollars (USD),31-35,Married,,2.0,4000000.0,25.0,46-50,310000.0
1,Canadian Dollars (CAD),41-45,Divorced,,,,,41-45,73727.25
1,United States Dollars (USD),41-45,Married,4.0,0.0,,,,
1,United States Dollars (USD),31-35,Married,1.0,1.0,2250000.0,85.0,36-40,250000.0
1,United States Dollars (USD),31-35,Married,5.0,0.0,4000000.0,35.0,71+,250000.0
1,United States Dollars (USD),36-40,"Single, never married",,,1200000.0,45.0,46-50,
1,United States Dollars (USD),26-30,"Single, never married",,,,,,
